sub_dimension,POS_flag,POS_count,descriptions
服饰,n,25,"眼镜, 围裙, 运动鞋, 运动服, 丧服, 腰带, 睡衣, 枕头, 鞋子, 袜子, 口水巾, 制服, 鞋, 病服"
,n+v,2,"厨师+服, 病号+服"
,n+n,1,厨师+帽
生活用品,n,48,"香水, 碗, 盘子, 饭盒, 耳机, 音响, 呕吐袋, 保温杯, 扶手, 夹子, 抓手, 包装, 桌子, 手机, 地板, 照片, 篮球, 按钮, 花, 插头, 字, 垃圾, 床, 手环, 餐具, 电脑, 遥控器, 毛巾, 沐浴露, 牙刷, 牙膏, 洗面奶, 鞋, 水杯, 药盒"
,d+v,1,随身+听
相关,a,11,"成功, 有力, 胖, 恶心, 重, 平, 笔直, 蹒跚, 安静, 麻烦"
,an,4,"健康, 痛"
,ad,2,突然
,d,2,猛然
,f,1,前后
,v+n,1,有+劲
程度,a,129,"远, 近, 仔细, 粗略, 大致, 臭, 难闻, 多, 少, 饱, 轻松, 轻, 重, 深, 浅, 用功, 费劲, 认真, 勤奋, 专心, 随意, 模糊, 细细, 频繁, 轻轻, 用心, 细心, 轻盈, 沉重, 高效, 好, 不好, 干净, 清新, 早, 晚, 勤, 响亮"
,v,19,"专注, 使劲, 用力, 清除, 深入, 昏沉"
,n,7,"香, 饥饿, 使劲儿, 体面, 小声"
,an,4,"努力, 凶狠, 邋遢"
,TIME,1,每天
,d,1,随手
,f,1,附近
职业,n,41,"科学家, 老师, 教授, 学生, 教练, 司机, 医生, 调音师, 演奏家, 拳击手, 品酒师, 厨师, 甜点师, 艺术家, 护工, 护士, 文员, 作家, 设计师, 园丁, 运动员, 上班族, 职员, 老板"
,n+n,2,"萨克斯+手, 体育+老师"
,nr,1,DJ
,vn,1,导购
身体,n,130,"眼睛, 鼻子, 嘴, 舌头, 腹部, 手指, 脑, 手, 身体, 脚, 腿, 肩, 背, 耳朵, 牙齿, 口腔, 食道, 嘴部, 喉咙, 头部, 头, 脖子, 肢体, 胳膊, 胸部, 双臂, 腕部, 双手, 腰, 脸, 肚子, 屁股, 胸脯, 肩膀, 指甲, 头发, 脑袋, 嘴巴, 肠道"
速度,a,101,"快, 慢, 着急, 匆忙, 从容, 猛, 缓, 迅速, 麻利"
,n,4,"大口, 小口"
,v,3,"拖延, 急迫, 拖沓"
,v+a,1,飞+快
饮食,n,45,"饭, 菜, 食物, 零食, 早餐, 中餐, 晚餐, 夜宵, 拉面, 点心, 肉, 丸子, 酒, 咖啡, 茶, 口香糖, 美食, 热饮, 开水, 面条, 鸡蛋, 西瓜, 米饭, 青菜, 水, 饮料, 晚饭, 中饭"
,ORG,1,苹果
,nz,1,下午茶
