sub_dimension,POS_flag,POS_count,descriptions
,n,40,"阳光, 活力, 黑心, 魅力, 知性, 寡语, 果决, 老派, 率性, 大意, 矍铄, 耐心, 专业"
,v,32,"担当, 好学, 开放, 健谈, 负责, 意气风发, 体贴, 乐于助人, 善解人意, 坚定, 贪玩, 冒险, 老骥伏枥, 唠叨, 任劳任怨"
,an,21,"淡然, 勤劳, 幽默, 温暖, 凶狠, 好奇, 努力"
,vn,12,"创新, 叛逆, 孝顺, 诱惑, 关怀, 奋斗"
,d,1,干脆
地点,n,107,"家庭, 班级, 年级, 学校, 校园, 学院, 学堂, 网吧, 小区, 大院, 街区, 电梯, 楼道, 社区, 单元, 楼, 家, 医院, 交通, 车辆, 疗养院, 餐厅, 公路, 战场, 江湖, 职场, 网络, 公园, 娱乐场所, 山, 幼儿园, 补习班, 运动场, 游乐园, 养老院, 街道, 家乡, 商场, 超市, 诊所, 饭店, 酒店, 辅导班"
,n+n,1,快递+站
,nr,1,KTV
,s,1,家门口
天气,n,2,太阳
家居,n,51,"桌子, 椅子, 床, 地板, 防撞条, 按摩仪, 电视机, 收音机, 手机, 电脑, 洗衣机, 冰箱, 燃气灶, 油烟机, 美容仪, 沙发, 衣柜, 游戏机, 书桌, 按摩椅, 理疗仪, 床垫, 玻璃, 家电"
,n+n,2,平板+电脑
,nz,2,微波炉
年龄,n,130,"幼年, 童年, 少年, 青年, 中年, 老年, 成年"
,a,10,"年轻, 年长"
性别,n,17,女
,a,14,男
文化娱乐产品,n,109,"书本, 课本, 作业, 论文, 书, 电影, 游戏, 漫画, 玩具, 游戏机, 绘本, 童话, 钢琴, 电子琴, 小提琴, 培训班, 舞蹈, 围棋, 象棋, 收音机, 电视机, 鱼竿, 书法, 戏曲, 演唱会, 电脑, 桌游, 卡牌, 试卷, 辅导书, 童书, 习题集, 红包, 动画片, 遛狗, 报纸, 麻将, 纸牌"
,v,22,"打球, 逛街, 过节, 跳舞, 看电影, 上网, 散步, 钓鱼, 下棋, 养花, 养鱼, 种菜, 健身"
,vn,12,"旅行, 聚餐, 春游, 唱歌, 阅读"
,n+n,3,兴趣+班
时间,v,50,"上学, 出生, 育儿, 结婚, 喝酒, 打架, 回家, 探亲, 过节, 过年, 玩耍, 逛街, 付款, 住院, 吃饭, 退房, 下班, 维修, 补课"
,n,25,"青年, 少年, 长期, 短期, 寒假, 暑假, 更年期, 幼年, 童年, 社区服务, 家装"
,vn,11,"成长, 购物, 调养, 住宿"
,TIME,5,"全天, 春节, 清晨, 傍晚"
服饰,n,96,"围裙, 手术服, 童装, 童鞋, 连体衣, 上衣, 外套, 衬衫, 背心, 裤子, 长裤, 短裤, 裙子, 长裙, 短裙, 连衣裙, 袜子, 长袜, 短袜, 船袜, 丝袜, 鞋子, 运动鞋, 高跟鞋, 平底鞋, 凉鞋, 拖鞋, 内衣, 内裤, 文胸, 配饰, 首饰, 项链, 手镯, 手链, 耳环, 耳钉, 耳坠, 戒指, 手提包, 挎包, 围兜, 开裆裤, 校服, 头盔, 护士服, 工装"
,n+n,4,老人+鞋
,nr,2,T恤
生活用品,n,69,"扫把, 拖把, 锅碗瓢盆, 纸尿裤, 奶瓶, 奶嘴, 酒杯, 拐杖, 轮椅, 扶手, 老人机, 老花镜, 保温杯, 盆子, 化妆品, 卫生巾, 尿不湿, 摇篮, 婴儿车, 假牙, 助听器, 安全套, 商品, 包裹, 快递箱, 纸箱, 抹布, 清洁剂, 扳手, 钳子, 锤子, 螺丝刀, 磨石, 手电筒, 万用表, 教具, 电脑"
,a+n,2,安全+座椅
,nz,2,"汽车安全座椅, 卫生棉条"
,vn+n,2,洗脸+仪
,n+n,1,智能+手表
职业,n,47,"老师, 教师, 师傅, 导师, 教授, 居委会, 物业, 护工, 家政, 户主, 护士, 售票员, 导游, 维修工, 医生, 店主, 商人, 厨师, 员工, 保姆, 收银员, 商场, 顾客, 商家, 司机, 大厨, 经理, 保安, 校长, 行政人员"
行为,v,184,"照顾, 结婚, 上班, 上课, 上学, 写, 学习, 旅游, 散步, 回家, 开门, 敲门, 吵架, 打招呼, 上楼, 下楼, 打扫, 出门, 寒暄, 陪伴, 做饭, 洗衣服, 接送, 诊断, 开方, 开车, 洗漱, 看护, 辅助, 取货, 骑车, 配送, 玩游戏, 玩耍, 喝酒, 打架, 乘凉, 聊天, 遛弯, 照看, 逛街, 探亲, 识字, 做作业, 背书, 补习, 看电影, 打球, 养, 躺, 去世, 养花, 取, 寄, 派送, 扫描, 查房, 换药, 上菜, 买单, 扫地, 拖地, 擦, 整理, 引导, 搬运, 检查, 维修, 讲课, 改, 开会"
,vn,57,"养育, 辅导, 考试, 旅行, 读书, 实习, 创业, 谈恋爱, 洗碗, 清理, 治疗, 问诊, 驾驶, 康复, 运动, 成长, 帮助, 聚餐, 保健, 聚会, 介绍, 接待, 沟通, 护理, 管理, 绿化"
,n,28,"工作, 作业, 游戏, 串门, 社交, 手术, 手推车, 红包, 遛狗, 点单, 志愿"
,v+n,5,买+菜
,n+n,3,广场+舞
饮食,n,35,"饭菜, 外卖, 奶粉, 牛奶, 辅食, 营养, 白酒, 啤酒, 营养品, 保健品, 阿胶, 咖啡, 鸡汤, 补品, 米饭, 菜, 药膳, 凉茶, 粥"
,nz,6,"红酒, 黄酒, 燕窝, 牛排"
